training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
1,S66,paper2_deep_cfr_marl,3.4858222007751465,2.2776096761226654,2.7142817229032516,1.3214248418807983,1.2257647812366486,1.4513238668441772,1.0,0.0,cuda
100,S27,paper2_deep_cfr_marl,0.3088493049144745,0.2575581231228057,0.12203902762848884,0.36263811790377076,1.1851796954870224,1.5148250758647919,1.0,0.0,cuda
200,S26,paper2_deep_cfr_marl,0.912120521068573,0.9034492745413445,0.024693100833246717,0.24406526190432487,1.2186043858528137,1.4262098520994186,1.0,0.0,cuda
300,S8,paper2_deep_cfr_marl,0.4785682260990143,0.4757118842098862,0.014103816676652059,0.34903729136567563,1.2028643786907196,1.5184197127819061,1.0,0.0,cuda
400,S49,paper2_deep_cfr_marl,0.10635055601596832,0.11007985530886799,0.006157937314128503,0.6500377282500267,1.3725973218679428,1.5751149654388428,1.0,0.0,cuda
500,S12,paper2_deep_cfr_marl,0.11821060627698898,0.11995991197181866,0.0098083093034802,0.616304132156074,1.3102986067533493,1.4375206679105759,1.0,0.0,cuda
600,S47,paper2_deep_cfr_marl,0.19497814774513245,0.19211081833418575,0.016953456679402734,0.47617182647809386,1.2576204985380173,1.4686242640018463,1.0,0.0,cuda
700,S55,paper2_deep_cfr_marl,0.11997804790735245,0.11711499748071219,0.02019816743722913,0.6226121001527645,1.348501056432724,1.5560734868049622,1.0,0.0,cuda
800,S57,paper2_deep_cfr_marl,0.0307078305631876,0.023913260312838247,0.020927633515384514,0.26228640624321997,1.1430175304412842,1.442109227180481,1.0,0.0,cuda
900,S6,paper2_deep_cfr_marl,0.043104249984025955,0.043176878680242226,0.007982208189787343,0.3664626032114029,1.254706934094429,1.4629543870687485,1.0,0.0,cuda
1000,S100,paper2_deep_cfr_marl,0.05296431481838226,0.045448505799868144,0.024853762097336585,0.366838741581887,1.1739039421081543,1.3272928893566132,1.0,0.0,cuda
1100,S85,paper2_deep_cfr_marl,0.05544275790452957,0.05636728984427464,0.006675644750544052,0.39285703538917005,1.3347542583942413,1.5034302175045013,1.0,0.0,cuda
1200,S98,paper2_deep_cfr_marl,0.05346031114459038,0.05328070975525634,0.008442130787670976,0.361935696528235,1.2988841980695724,1.4986339062452316,1.0,0.0,cuda
1300,S29,paper2_deep_cfr_marl,0.042247723788022995,0.0432833753147861,0.004433954200067092,0.30309298913925886,1.3208081722259521,1.4852167814970016,1.0,0.0,cuda
1400,S17,paper2_deep_cfr_marl,0.03618774935603142,0.01828657198871042,0.042826176300877705,0.13706007941800635,1.2660696506500244,1.5381803810596466,1.0,0.0,cuda
1500,S57,paper2_deep_cfr_marl,0.014305682852864265,0.0072806800887690315,0.018076599298183282,0.11094656399700398,1.1717648804187775,1.4483844339847565,1.0,0.0,cuda
1600,S57,paper2_deep_cfr_marl,0.014204096980392933,0.004208180444942755,0.023818306760404084,0.07223214242333142,1.1717648804187775,1.4483844339847565,1.0,0.0,cuda
1700,S47,paper2_deep_cfr_marl,0.03681277111172676,0.02664113134161994,0.02632668956721318,0.1675369536060316,1.1812401488423347,1.4709531515836716,1.0,0.0,cuda
1800,S35,paper2_deep_cfr_marl,0.06760447472333908,0.05958887316592154,0.02547105115809245,0.3446372438920662,1.2671157866716385,1.3877250701189041,1.0,0.0,cuda
1900,S3,paper2_deep_cfr_marl,0.061387062072753906,0.05328095972072333,0.02663386995482142,0.38791408855468035,1.3387010842561722,1.5299084931612015,1.0,0.0,cuda
2000,S59,paper2_deep_cfr_marl,0.07282880693674088,0.06683098738949411,0.024408154267803184,0.49858499824040337,1.2524723559617996,1.3601493835449219,1.0,0.0,cuda
2100,S1,paper2_deep_cfr_marl,0.02132907696068287,0.016800930312455442,0.013808275479505028,0.16855771567441025,1.253250926733017,1.4800224751234055,1.0,0.0,cuda
2200,S37,paper2_deep_cfr_marl,0.0292714424431324,0.022748785509975278,0.019754872044359217,0.23670380236580968,1.2972403168678284,1.429746463894844,1.0,0.0,cuda
2300,S75,paper2_deep_cfr_marl,0.07218051701784134,0.06918521180341486,0.0166881115369506,0.4514344439993003,1.2749991714954376,1.4206417948007584,1.0,0.0,cuda
2400,S77,paper2_deep_cfr_marl,0.03659190237522125,0.025954922195509766,0.0289892134225056,0.24081635006708257,1.1712460219860077,1.4302528649568558,1.0,0.0,cuda
2500,S13,paper2_deep_cfr_marl,0.054752156138420105,0.0478705789131495,0.023706675128778443,0.37864279818799673,1.416982501745224,1.554257556796074,1.0,0.0,cuda
2600,S96,paper2_deep_cfr_marl,0.050839878618717194,0.03660536793245228,0.035617789908428676,0.17934954974845577,1.1985023468732834,1.4991987645626068,1.0,0.0,cuda
2700,S82,paper2_deep_cfr_marl,0.00931335985660553,0.0012027994648633467,0.018647057040652726,0.028061556877406225,1.2669244408607483,1.5344361066818237,1.0,0.0,cuda
2800,S89,paper2_deep_cfr_marl,0.034087229520082474,0.02883457005418677,0.017681493070995202,0.27040123938375293,1.3063604682683945,1.441972330212593,1.0,0.0,cuda
2900,S24,paper2_deep_cfr_marl,0.0563763752579689,0.044888255463318316,0.03241197537863627,0.30972693339163015,1.2283743470907211,1.3745054751634598,1.0,0.0,cuda
